dt,temp,humidity,speed,deg,description
1615860000,291,68,5,140,overcast clouds
1615863600,289,67,5,130,overcast clouds
1615867200,288,72,3,130,scattered clouds
1615870800,288,77,5,130,clear sky
1615874400,288,77,4,123,scattered clouds
1615878000,286,88,3,124,broken clouds
1615881600,286,88,3,133,broken clouds
1615885200,286,88,2,150,overcast clouds
1615888800,286,88,2,120,broken clouds
1615892400,286,88,2,169,clear sky
1615896000,287,88,2,187,overcast clouds
1615899600,287,82,2,172,broken clouds
1615903200,288,82,3,192,overcast clouds
1615906800,289,82,4,211,overcast clouds
1615910400,290,77,2,50,overcast clouds
1615914000,290,82,3,40,haze
1615917600,289,82,4,50,haze
1615921200,289,77,3,40,overcast clouds
1615924800,289,77,2,50,overcast clouds
1615928400,289,72,2,70,haze
1615932000,289,72,2,80,broken clouds
1615935600,288,82,3,40,scattered clouds
1615939200,287,77,3,50,overcast clouds
1615942800,287,82,4,100,light rain
1615946400,286,94,7,300,heavy intensity rain
1615950000,286,94,2,150,moderate rain
1615953600,286,94,1,70,overcast clouds
1615957200,286,94,1,10,overcast clouds
1615960800,286,88,2,360,overcast clouds
1615964400,285,94,2,265,overcast clouds
1615968000,285,94,1,332,fog
1615971600,285,94,1,308,mist
1615975200,285,94,2,3,mist
1615978800,285,94,2,24,mist
1615982400,285,94,3,60,mist
1615986000,285,94,2,60,mist
1615989600,286,88,3,50,drizzle
1615993200,287,88,2,80,mist
1615996800,288,88,2,60,overcast clouds
1616000400,289,94,3,90,overcast clouds
1616004000,290,88,3,92,overcast clouds
1616007600,292,82,3,100,overcast clouds
1616011200,294,73,2,110,overcast clouds
1616014800,296,64,2,100,overcast clouds
1616018400,296,68,3,110,overcast clouds
1616022000,295,73,4,100,overcast clouds
1616025600,293,78,3,110,overcast clouds
1616029200,293,88,3,140,overcast clouds
1616032800,292,88,4,140,overcast clouds
1616036400,292,88,4,140,overcast clouds
1616040000,292,88,4,170,overcast clouds
1616043600,292,88,4,170,overcast clouds
1616047200,291,94,3,200,overcast clouds
1616050800,291,88,3,190,overcast clouds
1616054400,290,88,3,170,overcast clouds
1616058000,290,94,5,191,overcast clouds
1616061600,290,88,6,183,mist
1616065200,290,88,5,170,mist
1616068800,292,83,4,230,light rain
1616072400,292,88,12,180,overcast clouds
1616076000,293,88,4,220,moderate rain
1616079600,292,88,3,220,heavy intensity rain
1616083200,293,88,5,180,overcast clouds
1616086800,295,83,6,190,overcast clouds
1616090400,298,65,6,210,overcast clouds
1616094000,300,39,7,220,clear sky
1616097600,300,32,6,250,overcast clouds
1616101200,299,31,8,240,clear sky
1616104800,299,29,4,240,overcast clouds
1616108400,298,29,4,230,scattered clouds
1616112000,297,31,3,240,scattered clouds
1616115600,295,35,3,270,scattered clouds
1616119200,293,40,6,290,overcast clouds
1616122800,288,51,8,310,clear sky
1616126400,287,51,5,290,clear sky
1616130000,286,58,6,290,clear sky
1616133600,286,58,8,280,overcast clouds
1616137200,285,58,8,290,overcast clouds
1616140800,284,54,4,300,overcast clouds
1616144400,284,58,5,290,overcast clouds
1616148000,283,54,5,320,overcast clouds
1616151600,283,57,5,300,overcast clouds
1616155200,283,57,4,290,broken clouds
1616158800,284,58,5,320,clear sky
1616162400,285,54,4,310,clear sky
1616166000,286,50,6,310,scattered clouds
1616169600,288,47,4,310,clear sky
1616173200,289,48,3,358,scattered clouds
1616176800,291,45,4,26,scattered clouds
1616180400,292,37,3,50,scattered clouds
1616184000,292,42,2,50,overcast clouds
1616187600,291,42,3,40,overcast clouds
1616191200,291,42,3,50,overcast clouds
1616194800,289,51,5,60,overcast clouds
1616198400,287,62,5,60,overcast clouds
1616202000,287,58,4,70,overcast clouds
1616205600,286,54,6,80,overcast clouds
1616209200,286,54,5,80,overcast clouds
1616212800,285,50,4,70,overcast clouds
1616216400,284,50,6,60,overcast clouds
1616220000,283,54,5,80,overcast clouds
1616223600,283,57,5,60,overcast clouds
1616227200,282,49,6,70,overcast clouds
1616230800,281,46,5,70,scattered clouds
1616234400,281,49,2,80,overcast clouds
1616238000,280,49,4,60,overcast clouds
1616241600,280,57,4,50,clear sky
1616245200,280,49,6,60,clear sky
1616248800,281,37,6,60,clear sky
1616252400,283,32,6,70,clear sky
1616256000,284,30,6,50,clear sky
1616259600,285,28,4,40,clear sky
1616263200,287,28,5,70,clear sky
1616266800,288,26,5,60,clear sky
1616270400,288,29,5,80,clear sky
1616274000,289,29,5,100,clear sky
1616277600,288,31,4,30,clear sky
1616281200,288,33,5,50,scattered clouds
1616284800,286,38,4,60,overcast clouds
1616288400,285,43,4,80,broken clouds
1616292000,285,47,6,70,overcast clouds
1616295600,284,47,3,70,overcast clouds
1616299200,284,50,5,70,overcast clouds
1616302800,283,54,5,110,light rain
1616306400,281,76,3,60,moderate rain
1616310000,281,87,2,60,light rain
1616313600,281,81,4,60,moderate rain
1616317200,281,81,4,40,overcast clouds
1616320800,281,81,5,40,overcast clouds
1616324400,281,81,4,40,light rain
1616328000,280,81,4,40,light rain
1616331600,281,81,5,50,light rain
1616335200,281,76,6,50,moderate rain
1616338800,283,76,6,40,light rain
1616342400,285,66,6,50,overcast clouds
1616346000,286,62,5,60,light rain
1616349600,288,55,5,60,overcast clouds
1616353200,288,55,7,50,overcast clouds
1616356800,290,55,5,50,overcast clouds
1616360400,290,55,5,40,overcast clouds
1616364000,290,55,5,40,overcast clouds
1616364000,290,55,5,40,overcast clouds
1616367600,290,55,4,50,overcast clouds
1616371200,288,63,6,32,overcast clouds
1616374800,287,77,5,34,overcast clouds
1616378400,288,55,3,20,overcast clouds
1616382000,288,51,3,30,broken clouds
1616385600,288,55,3,40,broken clouds
1616389200,287,58,2,30,broken clouds
1616392800,286,62,3,20,broken clouds
1616396400,285,66,2,20,clear sky
1616400000,285,66,2,360,clear sky
1616403600,285,66,3,10,few clouds
1616407200,284,71,2,20,clear sky
1616410800,284,71,2,20,clear sky
1616414400,284,71,2,20,clear sky
1616418000,285,71,3,20,clear sky
1616421600,288,55,5,60,clear sky
1616425200,290,51,5,50,clear sky
1616428800,293,45,5,40,clear sky
1616432400,294,43,5,60,clear sky
1616436000,295,40,6,40,clear sky
1616439600,296,35,5,80,few clouds
1616443200,296,38,5,40,broken clouds
1616446800,297,33,5,50,broken clouds
1616450400,296,35,3,50,broken clouds
1616454000,295,33,3,80,broken clouds
1616457600,291,52,3,63,broken clouds
1616461200,289,76,2,63,clear sky
1616464800,287,87,3,64,clear sky
1616468400,287,87,4,71,clear sky
1616472000,286,87,2,60,clear sky
1616475600,285,82,3,72,scattered clouds
1616479200,286,71,2,60,scattered clouds
1616482800,285,71,3,81,overcast clouds
1616486400,284,87,3,73,overcast clouds
1616490000,284,87,3,64,overcast clouds
1616493600,284,93,2,55,overcast clouds
1616497200,284,87,3,60,overcast clouds
